"END-04,Endpoint Security,Disk encryption,""Encrypt portable and fixed endpoints."",Endpoint/IT Operations,Continuous,Encryption compliance report,Verify BitLocker or equivalent is enabled and escrowed.,Data loss from stolen devices"
"END-05,Endpoint Security,Local admin restriction,""Minimize local administrator usage."",Endpoint/IAM,Continuous,Local admin inventory,Check standard users are not local admins unless approved.,Privilege escalation"
"END-06,Endpoint Security,USB/device control,""Restrict removable media where required."",Endpoint/Security,Continuous,Device control policy and logs,Verify USB control rules are active and exceptions are documented.,Data exfiltration and malware spread"
"END-07,Endpoint Security,Application allowlisting,""Control approved applications."",Endpoint/Security,Continuous,Allowlist policy/config,Test that unauthorized applications are blocked.,Malicious or unauthorized software"
"END-08,Endpoint Security,Endpoint hardening baseline,""Apply standard security configurations."",Endpoint/IT Operations,Continuous,Baseline compliance report,Compare endpoints against hardened baseline.,Misconfiguration exposure"
"END-09,Endpoint Security,Endpoint patch compliance,""Keep endpoint operating systems and apps patched."",Endpoint/IT Operations,Monthly,Patch compliance report,Review patch levels and overdue devices.,Exploitation of known vulnerabilities"
"END-10,Endpoint Security,Endpoint isolation capability,""Support rapid containment of compromised endpoints."",SOC/Endpoint Security,Continuous,EDR containment procedures,Verify isolation can be executed and documented.,Spread of active compromise"
"SRV-01,Server Security,Server build standard,""Build servers from approved hardened templates."",Server Operations,Per Build,Build templates and deployment records,Confirm new servers use approved build standards.,Insecure ad hoc builds"
"SRV-02,Server Security,OS hardening baseline,""Apply server security baseline settings."",Server Operations,Continuous,Hardening compliance report,Check benchmark or baseline compliance on samples.,Excess attack surface"
"SRV-03,Server Security,Admin access restriction,""Limit server access to authorized administrators."",Server Operations,Continuous,Access logs and group membership,Verify only approved admin groups can access servers.,Unauthorized server changes"
"SRV-04,Server Security,Service account control,""Use least privilege for service accounts."",Application Owner/Server Ops,Annual/On Change,Service account inventory and permissions,Review permissions and confirm no interactive use unless approved.,Privilege abuse by service accounts"
"SRV-05,Server Security,Server patch compliance,""Patch servers within defined timelines."",Server Operations,Monthly,Patch compliance dashboard,Sample servers to validate patch status and overdue remediation.,Known-vulnerability exploitation"
"SRV-06,Server Security,Server logging enablement,""Enable security and system logs."",Server Operations/SOC,Continuous,Event log configuration,Verify logs are enabled, retained, and forwarded.,Loss of forensic visibility"
"SRV-07,Server Security,Remote access restriction,""Restrict RDP/SSH and administrative interfaces."",Network/Server Ops,Continuous,Firewall and access policy evidence,Confirm remote admin access is limited and logged.,Unauthorized remote entry"
"SRV-08,Server Security,IIS/application hardening,""Secure web/application server roles."",AppOps/Server Ops,Continuous,IIS config and hardening checklist,Check unnecessary features, headers, and modules are removed.,Web server compromise"
"SRV-09,Server Security,Server role minimization,""Install only required server roles and features."",Server Operations,Per Build,Build validation checklist,Verify servers run only needed roles/features.,Expanded attack surface"
"SRV-10,Server Security,Server monitoring and alerting,""Monitor availability, performance, and security events."",SOC/Server Ops,Continuous,Monitoring dashboards and alerts,Confirm critical thresholds and security events alert appropriately.,Delayed detection of outages or attacks"
"VUL-01,Vulnerability Management,Authenticated scanning,""Perform authenticated vulnerability scans."",Vulnerability Management,Monthly/Quarterly,Scan reports,Validate scans are authenticated and cover in-scope assets.,Incomplete vulnerability visibility"
"VUL-02,Vulnerability Management,Scheduled scan cadence,""Scan assets on a defined recurring schedule."",Vulnerability Management,Monthly/Quarterly,Scan schedule and run history,Check scans occur on time and missed scans are tracked.,Blind spots in exposure"
"VUL-03,Vulnerability Management,Critical vuln remediation SLA,""Remediate critical vulnerabilities quickly."",IT Ops/App Owners,Per SLA,Remediation tracker,Confirm critical findings meet SLA or have approved exception.,Rapid exploitation of critical flaws"
"VUL-04,Vulnerability Management,Risk-based prioritization,""Prioritize based on exploitability and exposure."",Vulnerability Management,Continuous,Prioritization rules and reports,Review that critical internet-facing and exploitable issues are prioritized.,Misallocated remediation effort"
"VUL-05,Vulnerability Management,False positive validation,""Validate findings before closure."",Vulnerability Management,Per Finding,Validation evidence,Check closure requires proof or documented validation.,Incorrect closure of real issues"
"VUL-06,Vulnerability Management,Scan coverage validation,""Ensure all in-scope assets are scanned."",Vulnerability Management,Monthly,Asset-to-scan coverage report,Reconcile inventory against scanned assets.,Unscanned vulnerable assets"
"VUL-07,Vulnerability Management,Exception tracking,""Document and approve vulnerability exceptions."",Risk/Compliance,Vulnerability review cycle,Exception register,Verify exceptions have compensating controls and expiry.,Permanent exposure without oversight"
"VUL-08,Vulnerability Management,Penetration testing linkage,""Use penetration tests to validate exposure."",Security Testing,Annual,Pen test report,Check findings are mapped to remediation and retest.,Undiscovered attack paths"
"VUL-09,Vulnerability Management,Remediation verification,""Confirm fixes after patching or configuration changes."",Vulnerability Management,Per Remediation,Retest evidence,Validate issues are rescanned and cleared.,Assumed but unverified remediation"
"VUL-10,Vulnerability Management,Vulnerability reporting,""Report trends and overdue items to stakeholders."",Vulnerability Management,Monthly,Management report,Confirm metrics and overdue items are escalated.,Poor visibility into risk"
"PAT-01,Patch Management,Patch policy and schedule,""Define patch cadence by severity and system type."",IT Operations/Security,Annual,Patch policy,Verify policy defines timelines by severity and asset class.,Inconsistent patching"
"PAT-02,Patch Management,Testing before deployment,""Test patches in staging before broad rollout."",IT Operations,Per Release,Test results and pilot reports,Check staging or pilot validation exists before production.,Patch-induced outages"
"PAT-03,Patch Management,Emergency patch process,""Fast-track critical security fixes."",IT Operations/Security,Per Event,Emergency change records,Review expedited approvals and deployment timing.,Delayed response to critical threats"
"PAT-04,Patch Management,Patch compliance tracking,""Measure patch status by asset group."",IT Operations/Security,Monthly,Compliance dashboard,Check coverage and overdue remediation by platform.,Unknown patch gaps"
"PAT-05,Patch Management,Unsupported software management,""Identify and retire unsupported products."",IT Operations/Architecture,Quarterly,End-of-life register,Confirm unsupported systems are tracked and migrated or isolated.,Unpatchable legacy risk"
"PAT-06,Patch Management,Rollback planning,""Prepare rollback steps for failed updates."",IT Operations,Per Change,Rollback plan in change records,Verify backout steps exist for significant changes.,Extended outages after failed patching"
"PAT-07,Patch Management,Maintenance window governance,""Deploy changes in approved windows."",Change Management/IT Ops,Per Change,Change calendar and approvals,Confirm patches occur in authorized windows.,Service disruption"
"PAT-08,Patch Management,Reboot enforcement,""Ensure required restarts occur after patching."",IT Operations,Per Patch Cycle,Restart compliance report,Check reboot-required updates were completed and verified.,Partially patched systems"
"PAT-09,Patch Management,Third-party software patching,""Patch browsers, runtimes, and non-OS apps."",IT Operations,Monthly,Third-party patch report,Confirm application patching is included in scope.,Exploitable third-party software"
"PAT-10,Patch Management,Patch failure remediation,""Investigate and resolve failed patch installs."",IT Operations,Per Failure,Failed patch ticket log,Review failure rates and remediation actions.,Persistent unpatched systems"
"NET-01,Network Security,Network segmentation,""Separate user, server, and sensitive zones."",Network Engineering,Annual/On Change,Network diagrams and ACLs,Validate segmentation aligns to zone design.,Lateral movement and blast radius"
"NET-02,Network Security,Firewall rule management,""Approve and review network rules."",Network Engineering/Security,Quarterly,Firewall rule review evidence,Sample rules for business justification and expiry.,Unnecessary exposed services"
"NET-03,Network Security,VPN security control,""Protect remote access with secure VPN standards."",Network/Security,Continuous,VPN policy and authentication logs,Verify strong auth and approved access policies exist.,Unsafe remote connectivity"
"NET-04,Network Security,Secure DNS configuration,""Reduce DNS abuse and tampering risk."",Network Engineering,Continuous,DNS settings and filtering logs,Check DNS security controls and filtering are enabled.,Phishing, malware, and spoofing"
"NET-05,Network Security,IDS/IPS monitoring,""Detect malicious network activity."",SOC/Network Security,Continuous,IDS/IPS alerts,Confirm alerts are reviewed and high-severity events escalated.,Undetected network attacks"
"NET-06,Network Security,Network device hardening,""Secure routers, switches, and firewalls."",Network Engineering,Annual,Hardening checklist,Validate management services, credentials, and configs are hardened.,Device compromise"
"NET-07,Network Security,Administrative access restriction,""Limit management access to network devices."",Network Engineering,Continuous,Access control lists and admin logs,Check only approved admin sources can manage devices.,Unauthorized config changes"
"NET-08,Network Security,Wireless security control,""Secure wireless networks and authentication."",Network Engineering,Annual,Wireless config and auth settings,Validate encryption and access controls are configured.,Unauthorized wireless access"
"NET-09,Network Security,East-west traffic monitoring,""Monitor internal lateral movement risk."",SOC/Network Security,Continuous,Network monitoring dashboard,Confirm internal traffic anomalies are monitored.,Stealthy internal spread"
"NET-10,Network Security,Network configuration backup,""Back up and protect network device configs."",Network Engineering,Daily/Weekly,Backup job logs and restore tests,Verify configs are backed up and recoverable.,Extended outage after device failure"
"Control ID,Domain,Control Name,Control Description,Control Owner,Frequency,Evidence,Test Steps,Risk Addressed"
"CLD-01,Cloud Security,Cloud account governance,""Control cloud subscriptions, tenants, and projects."",Cloud Operations/Security,Continuous,Cloud account inventory,Verify all cloud accounts are inventoried and owned.,Shadow cloud environments"
"CLD-02,Cloud Security,Cloud IAM hardening,""Enforce least privilege in cloud environments."",Cloud Security/IAM,Continuous,Cloud IAM policies,Sample roles and confirm excessive permissions are not present.,Privilege escalation in cloud"
"CLD-03,Cloud Security,Cloud logging enablement,""Enable cloud audit and activity logs."",Cloud Operations/SOC,Continuous,Cloud audit logs,Confirm logs are enabled and forwarded to monitoring.,Loss of cloud visibility"
"CLD-04,Cloud Security,Cloud security posture review,""Review misconfigurations and exposures."",Cloud Security,Continuous,Posture management reports,Validate findings are tracked and remediated.,Cloud misconfiguration exposure"
"CLD-05,Cloud Security,Cloud resource tagging,""Standardize metadata for ownership and control."",Cloud Operations,Continuous,Tag compliance report,Check required tags exist for critical resources.,Poor accountability and lifecycle tracking"
"CLD-06,Cloud Security,Cloud key management,""Protect cloud secrets and encryption keys."",Cloud Security,Continuous,KMS/Key vault configuration,Verify key access is restricted and monitored.,Compromise of sensitive secrets"
"CLD-07,Cloud Security,Public exposure review,""Detect and remediate public-facing resources."",Cloud Security/Operations,Continuous,Exposure scan results,Confirm public assets are approved or removed.,Unintended internet exposure"
"CLD-08,Cloud Security,Cloud network restriction,""Restrict inbound/outbound cloud traffic."",Cloud Network Engineering,Continuous,Security group/NACL/firewall rules,Review rules for least privilege and business need.,Unauthorized access paths"
"CLD-09,Cloud Security,Cloud backup and recovery,""Protect cloud-hosted workloads and data."",Cloud Operations,Continuous,Backup configuration and restore tests,Verify cloud backup jobs run and restores succeed.,Cloud data loss or service outage"
"CLD-10,Cloud Security,Cloud workload hardening,""Secure cloud VMs, containers, and services."",Cloud Operations/Security,Continuous,Hardening baseline reports,Sample workloads and compare to baseline.,Compromise of cloud workloads"
"M365-01,Microsoft 365 Security,Tenant secure baseline,""Apply Microsoft 365 security baseline settings."",M365 Admin/Security,Continuous,M365 baseline compliance report,Compare tenant settings to approved baseline.,Weak tenant posture"
"M365-02,Microsoft 365 Security,Exchange Online protection,""Protect email against phishing and malware."",Messaging/Security,Continuous,Defender/Exchange reports,Verify anti-phishing, anti-malware, and safe links policies are enabled.,Email-based compromise"
"M365-03,Microsoft 365 Security,SharePoint/OneDrive sharing control,""Restrict external sharing appropriately."",M365 Admin/Data Owners,Continuous,Sharing policy settings,Confirm external sharing is approved and limited.,Data leakage via file sharing"
"M365-04,Microsoft 365 Security,Teams governance,""Control Teams creation, guest access, and lifecycle."",Collaboration Admin/Security,Continuous,Teams policy and lifecycle records,Check creation, guest, and expiration policies are enforced.,Uncontrolled collaboration sprawl"
"M365-05,Microsoft 365 Security,Defender for Office 365,""Use advanced email threat protection."",Messaging/Security,Continuous,Defender policy and alert logs,Verify policies and threat detections are active.,Advanced phishing and malware"
"M365-06,Microsoft 365 Security,Microsoft 365 audit logging,""Enable and retain audit logs."",M365 Admin/SOC,Continuous,Audit log settings and retention,Confirm audit logging is enabled and retained per policy.,Insufficient forensic records"
"M365-07,Microsoft 365 Security,MFA and conditional access,""Require strong identity protections."",IAM/Security,Continuous,Conditional access policies,Verify MFA and device/location/risk policies are applied.,Account compromise"
"M365-08,Microsoft 365 Security,Admin role minimization,""Restrict tenant admin roles."",M365 Admin/IAM,Continuous,Role assignment report,Sample admins and verify least privilege access.,Excess tenant administration"
"M365-09,Microsoft 365 Security,Mailbox access review,""Review delegated and privileged mailbox access."",Messaging Admin,Quarterly,Mailbox permissions report,Check delegated access is appropriate and reviewed.,Unauthorized mailbox access"
"M365-10,Microsoft 365 Security,DLP policy enforcement,""Prevent inappropriate data sharing."",Security/Data Protection,Continuous,DLP policy and incident logs,Validate DLP policies trigger and incidents are reviewed.,Sensitive data exfiltration"
"LOG-01,Logging & Monitoring,Centralized log collection,""Send logs to a central platform."",SOC/Infrastructure,Continuous,SIEM ingestion status,Confirm key systems forward logs to central monitoring.,Fragmented visibility"
"LOG-02,Logging & Monitoring,Log retention standard,""Retain logs according to policy and regulation."",SOC/Compliance,Annual,Retention configuration,Verify retention meets policy and legal needs.,Lost investigation evidence"
"LOG-03,Logging & Monitoring,Security alert triage,""Review and respond to alerts promptly."",SOC,Continuous,Alert queue and case records,Sample alerts and confirm timely triage and closure.,Delayed threat response"
"LOG-04,Logging & Monitoring,Time synchronization,""Ensure consistent timestamps across systems."",Infrastructure/Server Ops,Continuous,NTP configuration,Check time sync is configured and operating correctly.,Broken event correlation"
"LOG-05,Logging & Monitoring,Critical event monitoring,""Alert on high-value events and anomalies."",SOC,Continuous,Alert rules and cases,Validate critical event use cases are covered and tested.,Missed intrusions"
"LOG-06,Logging & Monitoring,Log integrity protection,""Protect logs from unauthorized change."",SOC/Infrastructure,Continuous,Access controls and retention settings,Review permissions and immutability protections.,Tampered evidence"
"LOG-07,Logging & Monitoring,Monitoring coverage review,""Verify critical systems are monitored."",SOC/Infrastructure,Quarterly,Monitoring coverage matrix,Check all critical assets have monitoring assigned.,Unmonitored critical assets"
"LOG-08,Logging & Monitoring,Use case tuning,""Tune alerts to reduce noise and misses."",SOC,Monthly,Tuning records and alert metrics,Review false positives and missed detections.,Alert fatigue or blind spots"
"LOG-09,Logging & Monitoring,SIEM correlation rules,""Detect multi-event attack patterns."",SOC,Continuous,SIEM correlation content,Test sample detections and escalation paths.,Sophisticated attacks undetected"
"LOG-10,Logging & Monitoring,Monitoring exception tracking,""Track systems not sending logs or alerts."",SOC/Infrastructure,Continuous,Exception tracker,Verify exceptions are approved and temporary.,Logging gaps"
"BCP-01,Backup & Recovery,Backup policy,""Define backup scope, frequency, and retention."",Infrastructure/DR,Annual,Backup policy document,Verify policy covers systems, data, and retention periods.,Inconsistent recovery planning"
"BCP-02,Backup & Recovery,Backup encryption,""Encrypt backups at rest and in transit."",Infrastructure/DR,Continuous,Backup configuration,Check encryption settings are enabled and keys protected.,Backup data exposure"
"BCP-03,Backup & Recovery,Backup immutability,""Protect backups from deletion or tampering."",Infrastructure/DR,Continuous,Immutable backup settings,Verify immutable or air-gapped backups exist.,Ransomware destroying backups"
"BCP-04,Backup & Recovery,Restore testing,""Test restoration on a recurring schedule."",Infrastructure/DR,Quarterly,Restore test results,Confirm restore tests were successful and documented.,False assumption of recoverability"
"BCP-05,Backup & Recovery,Critical system coverage,""Include important systems and data in backups."",Infrastructure Owners,Continuous,Backup scope report,Sample critical systems to verify they are protected.,Unrecoverable critical systems"
"BCP-06,Backup & Recovery,Offsite backup storage,""Keep copies separate from production."",Infrastructure/DR,Continuous,Backup storage architecture,Verify offsite or separate recovery location exists.,Site-wide loss event"
